;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
CARAPEBUS; 473.620,37 ; 273.946,69 ; 252.409,39 ; 140.837,03 ; 47.715,05 ; 49.245,06 ; 38.897,19 ; 32.081,37 ; 37.044,72 ; 16.983,55 ; 10.784,64 ; 14.883,72 
CARDOSO MOREIRA; 400.309,29 ; 187.000,22 ; 153.128,00 ; 80.315,22 ; 54.105,03 ; 41.650,41 ; 23.939,85 ; 27.486,31 ; 23.042,06 ; 18.553,67 ; 15.000,91 ; 17.982,54 
CONCEICAO DE MACABU; 990.251,71 ; 539.605,26 ; 466.623,66 ; 257.852,71 ; 111.028,38 ; 66.791,34 ; 52.925,15 ; 63.222,91 ; 34.920,66 ; 26.506,97 ; 24.465,71 ; 31.616,82 
MACAE; 18.942.379,18 ; 11.422.230,32 ; 9.339.055,57 ; 5.093.018,81 ; 2.274.875,95 ; 2.018.877,57 ; 1.647.903,42 ; 1.474.030,99 ; 1.138.125,07 ; 851.013,83 ; 471.705,34 ; 514.736,18 
QUISSAMA; 606.674,51 ; 386.143,58 ; 347.338,61 ; 190.669,94 ; 108.532,57 ; 82.196,24 ; 64.696,22 ; 59.159,11 ; 43.716,95 ; 38.311,07 ; 22.574,61 ; 29.804,91 
SAO FIDELIS; 1.112.225,76 ; 699.111,18 ; 531.606,90 ; 287.983,66 ; 161.749,70 ; 137.358,93 ; 126.233,73 ; 137.368,26 ; 99.840,58 ; 69.485,04 ; 43.101,46 ; 85.009,86 
SAO FRANCISCO DE ITABAPOANA; 850.653,15 ; 546.163,05 ; 488.409,91 ; 293.948,57 ; 152.871,83 ; 110.592,51 ; 120.407,55 ; 110.813,91 ; 94.265,61 ; 80.691,43 ; 60.454,91 ; 78.303,57 
SAO JOAO DA BARRA; 1.212.937,08 ; 789.566,78 ; 539.645,16 ; 283.298,74 ; 217.276,27 ; 180.296,93 ; 127.580,51 ; 134.665,18 ; 116.667,30 ; 71.037,86 ; 47.053,69 ; 72.484,37 
SERRANA; 60.335.451,22 ; 33.890.575,66 ; 24.295.829,95 ; 14.671.627,01 ; 6.905.015,68 ; 5.573.243,77 ; 4.508.373,14 ; 4.266.903,95 ; 3.167.640,19 ; 2.519.886,71 ; 1.899.432,79 ; 2.205.368,97 
BOM JARDIM; 1.514.642,73 ; 828.009,26 ; 568.022,82 ; 344.876,93 ; 177.261,20 ; 127.242,44 ; 132.046,91 ; 93.828,15 ; 53.878,14 ; 56.465,71 ; 39.955,21 ; 29.113,40 
CANTAGALO; 902.499,95 ; 515.928,48 ; 391.812,47 ; 209.441,33 ; 106.325,52 ; 76.970,84 ; 76.798,30 ; 61.624,62 ; 36.134,37 ; 31.522,12 ; 20.141,33 ; 16.814,86 
CARMO; 690.783,98 ; 370.050,71 ; 286.900,06 ; 152.142,70 ; 60.371,32 ; 39.627,85 ; 46.073,80 ; 34.804,56 ; 27.310,14 ; 26.153,92 ; 13.024,16 ; 19.501,91 
CORDEIRO; 1.073.014,06 ; 671.881,26 ; 530.106,45 ; 293.968,45 ; 157.658,98 ; 147.717,00 ; 89.953,81 ; 72.350,30 ; 50.303,36 ; 33.418,23 ; 31.208,66 ; 22.550,44 
DUAS BARRAS; 377.345,34 ; 228.950,28 ; 163.222,71 ; 100.513,96 ; 49.351,74 ; 41.950,70 ; 33.841,84 ; 29.594,45 ; 24.735,10 ; 7.730,15 ; 12.452,27 ; 6.960,26 
MACUCO; 303.104,94 ; 176.553,57 ; 162.525,19 ; 85.528,86 ; 39.221,66 ; 39.699,83 ; 28.942,13 ; 17.137,96 ; 17.402,97 ; 13.576,78 ; 13.301,06 ; 11.214,91 
NOVA FRIBURGO; 15.848.374,34 ; 8.581.926,45 ; 6.098.757,59 ; 3.560.847,12 ; 1.670.290,93 ; 1.513.501,83 ; 1.082.178,24 ; 1.019.744,38 ; 782.487,17 ; 545.841,70 ; 401.644,72 ; 477.740,26 
PETROPOLIS; 23.749.883,80 ; 13.980.891,30 ; 9.788.107,37 ; 6.285.625,84 ; 2.785.716,66 ; 2.059.358,89 ; 1.821.836,25 ; 1.782.531,43 ; 1.351.384,11 ; 1.127.128,35 ; 693.806,21 ; 893.560,10 
SANTA MARIA MADALENA; 362.851,34 ; 203.482,55 ; 139.519,75 ; 87.852,13 ; 47.075,52 ; 34.086,80 ; 26.043,41 ; 23.454,28 ; 10.007,34 ; 8.342,97 ; 6.316,13 ; 13.743,01 
SAO JOSE DO VALE DO RIO PRETO; 1.138.737,68 ; 549.008,43 ; 434.280,32 ; 263.292,33 ; 108.982,07 ; 72.805,05 ; 56.702,11 ; 71.736,53 ; 40.231,69 ; 26.809,73 ; 40.205,39 ; 31.713,12 
SAO SEBASTIAO DO ALTO; 361.220,91 ; 181.139,64 ; 167.316,45 ; 78.517,08 ; 47.399,42 ; 41.778,32 ; 26.603,02 ; 37.104,77 ; 18.260,95 ; 18.726,29 ; 13.556,78 ; 23.372,17 
SUMIDOURO; 753.690,67 ; 379.665,58 ; 226.542,70 ; 137.210,32 ; 96.928,60 ; 86.577,42 ; 50.467,64 ; 41.939,33 ; 27.790,57 ; 30.240,40 ; 21.870,99 ; 24.362,56 
TERESOPOLIS; 12.974.204,95 ; 7.040.505,02 ; 5.192.450,19 ; 2.965.442,05 ; 1.521.033,71 ; 1.257.412,95 ; 1.002.997,59 ; 952.607,75 ; 712.009,15 ; 584.104,25 ; 582.951,19 ; 621.404,50 
TRAJANO DE MORAIS; 285.096,53 ; 182.583,13 ; 146.265,88 ; 106.367,91 ; 37.398,35 ; 34.513,85 ; 33.888,09 ; 28.445,44 ; 15.705,13 ; 9.826,11 ; 8.998,69 ; 13.317,47 
Total Geral; 989.649.777,69 ; 597.327.805,60 ; 419.192.652,82 ; 247.119.661,26 ; 121.786.013,78 ; 100.101.973,21 ; 88.892.524,61 ; 82.324.085,28 ; 62.278.933,04 ; 48.072.589,49 ; 34.391.451,33 ; 41.869.442,27 
